|Mortal Fea!|	|Greg Iles|
|Dolly–The Birth of a Clone|	|Jina Kolata|
|Other People's Children|	|Joanna Trollope|
|Inside the CBI|	|Joginder Singh|
|Midnight in the Garden of Good and Evil|	|John Berendt|
|Room at the Top|	|John Braine Roots|
|Life and Death of Mr. Badman|	|John Bunyan|
|Blind Ambitions|	|John Dean|
|Lost Honour|	|John Dean|
|All for Love|	|John Dryden|
|End of the Chapter|	|John Forsyte|
|Escape|	|John Forsyte|
|Fraternity|	|John Forsyte|
|Shaw Man of Property|	|John Galsworthy|
|Strife|	|John Galsworthy|
|Mars & Venus–A Match In Heaven?|	|John Gray|
|Runaway Jury|	|John Grisham|
|Street Lawyer|	|John Grisham|
|The Brethren|	|John Grisham|
|Alexander the Great|	|John Gunther|
|Death Be Not Proud|	|John Gunther|
|Inside Asia (also Inside Europe and Inside Mrica)|	|John Gunther|
|Economics of Peace and Laughter|	|John K. Galbraith|
|Economics of Public Purpose|	|John K. Galbraith|
|Isabella|	|John Keats Islamic Bomb : Stev Weissman and Herbert Krousney|
|India Discovered|	|John Keay|
|A China Passage|	|John Kenneth Galbraith|
|Essays for Poor to the Rich|	|John Kenneth Galbraith|
|Single & Single|	|John Le Carre|
|A Spaniard in the Works|	|John Lennon|
|Nine Days' Wonder|	|John Mansfield|
|Comus|	|John Milton|
|L'Allegro|	|John Milton|
|Lycidas|	|John Milton|
|Paradise Lost|	|John Milton|
|Paradise Regained|	|John Milton|
|Look Back in Anger|	|John Osborne|
|Ink|	|John Preston|
|Modern Painters|	|John Ruskin|
|Sesame and Lilies|	|John Ruskin|
|Seven Lamps of Architecture|	|John Ruskin|
|The Crown of Wild Olive|	|John Ruskin|
|Grapes of Wrath|	|John Steinbeck|
|Considerations on Representative Government|	|John Stuart Mill|
|Rabbit, Run|	|John Updika|
|The Coup|	|John Updike|
|Tunzelmann Indian Summers|	|John Wright|
|A Tale of a Tub|	|Jonathan Swift|
|Gulliver's Travels|	|Jonathan Swift|
|Coverly Papers|	|Joseph Addison|
|Arrow of Gold|	|Joseph Conrad|
|Chance|	|Joseph Conrad|
|Heart of Darkness|	|Joseph Conrad|
|Lord Jim|	|Joseph Conrad|
|Mirror of the Sea|	|Joseph Conrad|
|Mod Classics|	|Joseph Conrad|
|Nostromo|	|Joseph Conrad|
|Secret Agent|	|Joseph Conrad|
|Shadow Line|	|Joseph Conrad|
|Born Free|	|Joy Adamson|
|The Blessing|	|Jude Deveraux|
|Summer Sisters|	|Judy Bloom|
|Around the World in Eighty Days|	|Jules Verne|
|Diana–The Story So Far|	|Julia Donelli|
|Mao, the Unknown Story|	|Jung Chang & Jon Halliday|
|Suu Kyi|	|Justin Wintle|
|Crime & Money Laundering|	|Jyoti Trehan|
|I am Not an Island|	|K. A. Abbas|
|Child and Law in India|	|K. Chandru, Geeta Ramaseshan and Chandra Thanikachalam|
|Press Freedom–The Indian Story|	|K. G. Joglekar|
|Seshan–An Intimate Story|	|K. Govindan Kutty|
|Road to Freedom|	|K. K. Khullar|
|I Follow the Mahatma|	|K. M. Munshi|
|Jai Somnath|	|K. M. Munshi|
|Asia and Western Dominance|	|K. M. Panikkar|
|The Assassination|	|K. Mohandas|
|Curtain Raisers|	|K. Natwar Singh|
|Profiles & Letters|	|K. Natwar Singh|
|Punjab, The Knights of Falsehood|	|K. P. S. Gill|
|Many Worlds|	|K. P. S. Menon|
|India First|	|K. R. Malkani|
|Mughal Maharajas and the Mahatma|	|K. R. N. Swami|
|Subsidies–A Bottomless Bucket|	|K. S. Ramachandran|
|Choma's Drum|	|K. Shivaram Karanth|
|Mookhajjiva Kanasugalu|	|K. Shivram Karanth|
|Japan–South Asia Security and Economic Perspectives|	|K. V Kesvan|
|India's Development As Knowledge Society|	|K. Venkatasubramanian|
|Khushwant Singh–An Icon of Our Age|	|Kaamna Prasad|
|Death–The Supreme Friend|	|Kakasaheb Kalelkar|
|Rajtarangini|	|Kalhana|
|Kumar Sambhava|	|Kalidas|
|Malavikagnimitra|	|Kalidas|
|Meghdoot|	|Kalidas|
|Raghuvamsa|	|Kalidas|
|Ritu Samhara|	|Kalidas|
|Shakuntala|	|Kalidas|
|Abhigyana Shakuntalam|	|Kalidasa|
|Rediscovering Dharavi|	|Kalpana Sharma|
|In the City by the Sea|	|Kamilla Shamsie|
|Kali Aandhi|	|Kamleshwar|
|By God's Decree|	|Kapil Dev|
|Straight From Heart|	|Kapil Dev|
|Sadar-i-Riyasat|	|Karan Singh|
|Dark Debts|	|Karen Hall|
|A Contribution to the Critique of Political Economy|	|Karl Marx|
|Communist Manifesto|	|Karl Marx|
|Das Kapital|	|Karl Marx|
|Ship of Fools|	|Katherine Anne Porter|
|Indira–The Life of Indira Nehru Gandhi|	|Katherine Frank|
|Mother India|	|Katherine Mayo|
|Arthashastra|	|Kautilya|
|Agni Veena|	|Kazi Nazrul Islam|
|General Theory of Employment, Interest & Money|	|Keynes|
|Facts are Facts|	|Khan Abdul Wali Khan|
|A Bride for the Sahib and Other Stories|	|Khushwant Singh|
|Burial At Sea|	|Khushwant Singh|
|In the Company of Women|	|Khushwant Singh|
|Love, Truth and a Little Malice|	|Khushwant Singh|
|The Company of Women|	|Khushwant Singh|
|Bread, Beauty and Revolution|	|Khwaja Ahmed Abbas|
|Colonel Sun|	|Kingsley Amis|
|As I See|	|Kiran Bedi|
|It's Always Possible|	|Kiran Bedi|
|Cuckold|	|Kiran Nagar Kar|
|God's Little Soldier|	|Kiran Nagarkar|
|Mondays on Dark Night of Moon|	|Kirin Narayan|
|The 21st Century Ambassador|	|Kishan S. Rana|
|Meri Rahen Meri Manzil|	|Krishna Puri|
|Kamadhenu|	|Kubernath Ray|
|Between the Lines|	|Kuldip Nayar|
|Distant Neighbours|	|Kuldip Nayar|
|India–The Critical Years|	|Kuldip Nayar|
|Slaughter House Five|	|Kurt Vanuegut|
|Moonlight Sonata|	|L Beethoven|
|Fidelio|	|L. Beethoven|
|A Prisoner's Scrapbook|	|L. K. Advani|
|Anguish of Deprived|	|Lakshmidhar Mishra|
|Shivaji, The Great Patriot|	|Lala Lajpat Rai|
|Unhappy India|	|Lala Lajpat Rai|
|Beyond the Walls of Silence|	|Lalini Rajasuriya|
|Freedom at Midnight|	|Larry Collins and Dominique Lapierre|
|Is Paris Burning?|	|Larry Collins and Dominique Lapierre|
|Mountbatten and tne Partition of India|	|Larry Collins and Dominique Lapierre|
|O'Jerusalem|	|Larry Collins and Dominique Lapierre|
|Mountbatten and Independent India|	|Larry Collirs and Dominique Lapierre|
|India-Pakistan–History of Unsolved Conflicts|	|Lars Blinkenberg|
|Like Water for Chocolate|	|Laura Esquivel|
|Raj–The Making & Unmaking of British India|	|Lawrence James|
|Pakistan in the 20th Century–A Political History|	|Lawrence Ziring|
|A Revolutionary Life|	|Laxmi Sehgal|
|One-eyed Uncle|	|Laxmikant Mahapatra|
|Love in a Dead Language|	|Lee Seigel|
|China's Watergate|	|Leo Goodstadt|
|Anna Karenina|	|Leo Tolstoy|
|Resurrection|	|Leo Tolstoy|
|Rebirth|	|Leonid Brezhnev|
|Small Land|	|Leonid Brezhnev|
|Road to Folly|	|Leslie Ford|
|Alice in Wonderland|	|Lewis Carroll|
|And Through the Looking Glass|	|Lewis Carroll|
|Man, The Unknown|	|Lewis Carroll|
|Nursery Alice|	|Lewis Carroll|
|Pillow Problems and the Tangled Tale|	|Lewis Carroll|
|Ben Hur|	|Lewis Wallace|
|August 1914|	|Alexander Solzhenitsyn|
|Nai Duniya Ko Salam & Path or Ki Dewar|	|Ali Sardar Jafri|
|The Big Fisherman|	|Lloyd C. Douglas|
|Dynasties of India and Beyond–Pakistan, Sri Lanka and Bangladesh|	|lnder Malhotra|
|Idylls of the King|	|Lord Alfred Tennyson|
|In Memoriam|	|Lord Alfred Tennyson|
|Modern Jihad|	|Loretta Napuleoni|
|Rains Came|	|Louis Bromefieid|
|A Week with Gandhi|	|Louis Fischer|
|Gandhi and Stalin|	|Louis Fisher|
|Kailasb Mansarovar|	|Lt. Col. A. S. Berar (Retd.)|
|Pakistan Leadership Challenge|	|Lt. Gen. (Rtd.) Jahan Dad Khan|
|Surrender at Dacca|	|Lt. Gen. J. F.R. Jacob|
|Operation Bluestar–The True Story|	|Lt. Gen. K. S. Brar|
|Operation Parakaram–The War Unfinished|	|Lt. Gen. V. K. Sood and Pravin Sawhney|
|The Betrayal of East Pakistan|	|Lt. General A. A. K. Niazi|
|A Simple Path|	|Lucinda Vardey|
|Philosophical Investigations|	|Ludwig Wittgenstein|
|Man, Beast and Virtue|	|Luigi Pirandello|
|Six Characters in Search of an Author|	|Luigi Pirandello|
|Eminent Victorians|	|Lytton Strachey|
|Kabeer Aur Eesaayee Chintan|	|M. D. Thomas|
|Rags to Riches|	|M. G. Muthu|
|A Judge's Miscellany|	|M. Hidayatullah|
|My Own Boswell|	|M. Hidayatullah|
|Blood Brothers|	|M. J. Akbar|
|Kashmir–Behind the Vale|	|M. J. Akbar|
|Kargil–Cross Border Terrorism|	|M. K. Akbar|
|Open Secrets–Indian Intelligence Unveiled|	|M. K. Dhar|
|My Experiments with Truth|	|M. K. Gandhi|
|Conquest of Self|	|M. K. Gandhi|
|Hind Swaraj|	|M. K. Gandhi|
|Indian Home Rule|	|M. K. Gandhi|
|My Early Life|	|M. K. Gandhi|
|Non-Violence in Peace and War|	|M. K. Gandhi|
|Bureaucrazy|	|M. K. Kaw|
|Glimpses of Some Great Indians|	|M. L. Ahuja|
|Reminiscences of the Nehru Age|	|M. O. Mathai|
|India of Our Dreams|	|M. V. Kamath|
|Madame Secretary–A Memoir|	|Madeleine Albright|
|Quest for Conscience|	|Madhu Dandvate|
|Modernity, Morality And The Mahatma|	|MadhuriSanthanam Sondhi|
|Ramayana|	|Maharishi Valmiki|
|Magic Mountain|	|Maharishi Ved Vyas|
|Flash Point|	|Mainank Dhar|
|Saaket|	|Maithili Sharan Gupt|
|Saket|	|Maithili Sharan Gupt|
|Bharat Bharati|	|Maithili Sharan Gupta|
|Faces of Everest|	|Maj. H. P. S. Ahluwalia|
|Indian Arms Bazaar|	|Maj-Gen. Pratap Narain|
|Param Vir–Our Heroes in Battle|	|Major Gen. Ian Cardozo|
|Eternal Himalayas|	|Major H. P. S. Ahluwalia|
|In the Shadow of Pines|	|Mandeep Rai|
|Difficult Daughters|	|Manju Kapoor|
|Harvest|	|Manjula Padmanabhan|
|A Speaker's Diary|	|Manohar Joshi|
|A Bend in the Ganges|	|Manohar Malgonkar|
|Bandicoot Run|	|Manohar Malgonkar|
|Distant Drums|	|Manohar Malgonkar|
|Shalimar|	|Manohar Malgonkar|
|Farewell to a Ghost|	|Manoj Das|
|Dharamashastra|	|Manu|
|The Blind Assasin|	|Margaret Atwood|
|Halfway to Freedom|	|Margaret Bourke-White|
|Garrick Year|	|Margaret Drabble|
|Letters From the Field|	|Margaret Mead|
|Gone with the Wind|	|Margaret Mitchell|
|Path to Power|	|Margaret Thatcher|
|Lines of Fate|	|Mark Kharitonov|
|India's Unending Journey-How its Future will Affect Us All|	|Mark Tully|
|No Full Stops in India|	|Mark Tully|
|From Raj to Rajiv|	|Mark Tully and Zaheer Masani|
|Adventures of Huckleberry Finn|	|Mark Twain|
|Birds and Beasts|	|Mark Twain|
|The Adventures of Tom Sawyer|	|Mark Twain|
|Kiss of God|	|Marshall Stewart Bell|
|Havana Bay|	|Martin Cruz Smith|
|Nelson Mandela–A Biography|	|Martin Meredith|
|Chikaveera Rajendra|	|Masci Venkatesh Iyengar|
|Culture and Anarchy|	|Matthew Arnold|
|Essays in Criticism|	|Matthew Arnold|
|God and the Bible|	|Matthew Arnold|
|Sohrab and Rustam|	|Matthew Arnold|
|India Wins Freedom|	|Maulana Abul Kalam Azad|
|Blue Bird|	|Maurice Macterlink|
|Childhood|	|Maxim Gorky|
|Children of the Sun|	|Maxim Gorky|
|City of the Yellow Devil|	|Maxim Gorky|
|Enemies|	|Maxim Gorky|
|Mother|	|Maxim Gorky|
|Kiran Bedi–The Kindly Baton|	|Meenakshi Saxena|
|Life Isn't All Ha Ha Hee Hee|	|Meera Syal|
|Indica|	|Megasthenes|
|Development and Nationhood–Essays in the Political Economy of South Asia|	|Meghnad Desai|
|Jurassic Park|	|Michael Crichton|
|Platform|	|Michael Houellebecq|
|Moonwalk|	|Michael Jackson|
|Dude, Where's My Country?|	|Michael Moore|
|Killer Angels|	|Michael Shaara|
|And Quiet Flows the Don|	|Mikbail A. Sholokhov|
|Buddha's Warriors|	|Mikel Dunham|
|The August Coup|	|Mikhail S. Gorbachev|
|Life is Elsewhere|	|Milan Kundera|
|Bliss was it in that Dawn|	|Minoo Masani|
|China, the World and India|	|Mira Sinha Bhattacharjee|
|Bang-i-Dara|	|Mohammad Iqbal|
|Answer to History|	|Mohammad Reza Pahlavi|
|Atoms of Hope|	|Mohan Sundara Rajan|
|Brick Lane|	|Monica Ali|
|Story of My Life|	|Moshe Dayan|
|Aasman Aur Bhi Hain|	|Mridula Halan|
|My Own Witness|	|Mrinal Pande|
|Kanya–Exploitation of Little Angels|	|Ms. V. Mohini Giri|
|Little Angels|	|Ms. V. Mohini Giri|
|Regional Security in South Asia–The Ethno-Sectarian Dimensions|	|Muchkund Dubey & Nancy Jetly|
|Confessions of a Lover|	|Mulk Raj Anand|
|Lost Child|	|Mulk Raj Anand|
|Seven Summers|	|Mulk Raj Anand|
|The Bride's Book of Beauty|	|Mulk Raj Anand|
|The Bubble|	|Mulk Raj Anand|
|Godaan|	|Munshi Prem Chand|
|Kayakalp|	|Munshi Prem Chand|
|Prem Pachisi|	|Munshi Prem Chand|
|Rangbhoomi|	|Munshi Prem Chand|
|Soz-i-Watan|	|Munshi Prem Chand|
|Beast and Man|	|Murry NIidgley|
|Legacy of a Divided Nation|	|Mushirul Hasan|
|India's Priceless Heritage|	|N. A. Palkhivala|
|Naivedyam (The Offering)|	|N. Balamai Amma|
|Stripped Steel|	|N. K. Singh|
|Riding the Nuclear Tiger|	|N. Ram|
|Occasion for Loving|	|Nadine Gordimer|
|The Conservationist|	|Nadine Gordimer|
|A Himalayan Love Story|	|Namita Gokhale|
|The Book of Shadows|	|Namita Gokhale|
|Children of Gebelawi|	|Naquib Mahfouz|
|Faith & Compassion|	|Navin Chawla|
|A Voice of Freedom|	|Nayantara Sehgal|
|Indira Gandhi's Emergence and Style|	|Nayantara Sehgal|
|Mistaken Identity|	|Nayantara Sehgal|
|Prison and Chocolate Cake|	|Nayantara Sehgal|
|Rich Like Us|	|Nayantara Sehgal|
|The Day in Shadow|	|Nayantara Sehgal|
|Plans for Departure|	|Nayantata Sehgal|
|End of the Line|	|Neelesh IvIishra|
|173 Hours in Captivity|	|Neelesh Mishra|
|Long Walk to Freedom|	|Nelson Mandela|
|India's China War|	|Neville Maxwell|
|Government@net: New Governance, New Opportunities for India|	|New Governance, New Opportunities for India : Kiran Bedi, Parminder Jeet Singh & Sandeep Srivastava|
|Being Digital|	|Nicholas Negroponte|
|Story of Real Man|	|Nikolayev Polevoi|
|A Passage to England|	|Nirad C. Chaudhuri|
|Continent of Circe|	|Nirad C. Chaudhuri|
|Culture in the Vanity Bag|	|Nirad C. Chaudhuri|
|Scholar Extraordinary|	|Nirad C. Chaudhuri|
|The Autobiography of an Unknown Indian|	|Nirad C. Chaudhuri|
|Hinduism|	|Nirad C. Choudhuri|
|Democratic Governance in India–Challenges of Poverty, Development & Identity|	|Nirja Gopal Jayal & Sudha Pai|
|Bharat Aur Europe|	|Nirmal Verma|
|9-11|	|Noam Chomsky|
|Great Illusion|	|Norman Angell|
|Executioner's Song|	|Norman Mailer|
|Decline of the West|	|O' Spengler|
|Autumn Leaves|	|O. Pulla Reddi|
|Gurusagaram|	|O. V. Vijayan|
|A Tale of Two Gardens|	|Octavio Paz|
|In Light of India|	|Octavio Paz|
|Sun Stone|	|Octavio Paz|
|Deserted Village|	|Oliver Goldsmith|
|She Stoops to Conquer|	|Oliver Goldsmith|
|Rubaiyat|	|Omar Khayyam|
|De Profundis|	|Oscar Wilde|
|Importance of Being Earnest|	|Oscar Wilde|
|Damsel in Distress|	|P G. Wodehouse|
|Heavy Weather|	|P G. Wodehouse|
|Mass Media in Contemporary Society|	|P. B. Sawant|
|Perils of Democracy|	|P. C. Alexander|
|Flames from the Ashes|	|P. D. Tandon|
|Big Money|	|P. G. Wodehouse|
|French Leave|	|P. G. Wodehouse|
|Frozen Assets|	|P. G. Wodehouse|
|Fun Moon|	|P. G. Wodehouse|
|Girl in Blue|	|P. G. Wodehouse|
|Girl On the Boat|	|P. G. Wodehouse|
|Hot Water|	|P. G. Wodehouse|
|Thank You, Jeeves|	|P. G. Wodehouse|
|Indira Gandhi-The "Emergency" And Indian Democracy|	|P. N. Dhar|
|Premonitions|	|P. N. Haksar|
|Chithirappaavai|	|P. V. Akilandam|
|A Long Way|	|P. V. Narasimha Rao|
|Ayodhya–6 December 1992|	|P.V. Narasimha Rao|
|Guns & Yellow Roses-Essays on Kargil War|	|Pamela Constable|
|India Remembered–A Personal Account of the Mountbattens During the Transfer of Power|	|Pamela Mountbatten and India Hicks|
|Ashtadhyayi|	|Panini|
|India in Mind|	|Pankaj Mishra|
|Romantics|	|Pankaj Mishra|
|Temptations of the West–How to be Modern in India, Pakistan and Beyond|	|Pankaj Mishra|
|A Time of Coalitions|	|Paranjoy Guha Thakurta & Shankar Raghuraman|
|I Dare|	|Parmesh Dangwal|
|A Possible India|	|Partha Chatterjee|
|Mahabhashya|	|Patanjali|
|Hornet's Nest|	|Patricia Cornwell|
|Point of Origin|	|Patricia Cornwell|
|Liberty & Death|	|Patrick French|
|Shadow of a Princess|	|Patrick Jephson|
|Fire in the East–The Rise in Asian Military Power and the Second Nuclear Age|	|Paul Bracker|
|A Royal Duty|	|Paul Burrel|
|Cold Street|	|Paul Carson|
|Believe–Achieve|	|Paul Hanna|
|Preparing for the Twentieth Century|	|Paul Kennedy|
|Rise and Fall of the Great Powers|	|Paul Kennedy|
|Empire of the Soul–Some Journeys in India|	|Paul William Roberts|
|Double Betrayal|	|Paula R. Newburg|
|Special Tests–The Memoirs of an Unwanted Witness–A Soviet Spymaster|	|Pavel Anatolievich Sudoplatov|
|People Like Us|	|Pawan Kumar Verma|
|Being Indian|	|Pawan Varma|
|A House Divided|	|Pearl S. .Buck|
|All Under Heaven|	|Pearl S. Buck|
|Child Who Never Grew|	|Pearl S. Buck|
|China–Past and Present|	|Pearl S. Buck|
|Death in the Casde|	|Pearl S. Buck|
|Drogon's Seed|	|Pearl S. Buck|
|East Wind|	|Pearl S. Buck|
|Good Earth|	|Pearl S. Buck|
|Imperial Woman|	|Pearl S. Buck|
|Letter from Peking|	|Pearl S. Buck|
|Man Who Changed China|	|Pearl S. Buck|
|My Several Worlds|	|Pearl S. Buck|
|Pavilion of Women|	|Pearl S. Buck|
|The Beach Tree|	|Pearl S. Buck|
|The British Conquest and Dominion of India|	|Penderal Moon|
|Naked Came the Stranger|	|Penelope Ashe|
|India Remembered|	|Percival & Margaret Spear|
|Oscar and Lucinda|	|Peter Carey|
|A Tribute to People's Princess–Diana|	|Peter Donelli|
|The Changing World of the Executive|	|Peter Drucker|
|Managing for Results|	|Peter F. Drucker|
|Managing for the Future|	|Peter F. Drucker|
|Pyramids of Sacrifice|	|Peter L. Berger|
|Spy Catcher|	|Peter Wright|
|Operation Shylock|	|Philip Roth|
|Democracy Means Bread and Freedom|	|Piloo Mody|
|Once was Bombay|	|Pinki Virani One Day in the Life of Ivan Denisovich : Aleksandr Solzhenitsyn|
|Republic|	|Plato|
|Indian Judiciary–A Tribute|	|Poornima Advani .|
|Crossing the Threshold of Hope|	|Pope John Paul II|
|Millenniums|	|Pope John Paul II|
|South Asia on a Nuclear Fuse|	|Praful Bidwai & Achin Vanaik|
|Rediscovering Asia|	|Prakash Nanda|
|Development Banks-Infrastructure and Industrial Output|	|Prakash Salvi|
|Kohima to Kashmir–On Terrorist Trail|	|Prakash Singh|
|Beyond the Veil, Indian Women in the Raj|	|Pran Nevile|
|Britain's True History|	|Prem Bhatia|
|NirmaJa|	|Prem Chand|
|Identity and Violence–The Illusion of Destiny|	|Prof. Amartya Sen|
|India in Transition–Freeing the Economy|	|Prof. Jagdish Bhagwati|
|Nehru–A Political Life|	|Prof. Judith Brown|
|Manviya Sanskriti Ke Rachnatmak Aayam|	|Prof. Raghuvansh|
|Jankijeevanam|	|Prof. Rajendra Mishra|
|Honest Thief and Other Stories|	|Pyodor Dostoevsky|
|Malgudi Days|	|R, K Narayan|
|Death of a Patriot|	|R. E. Harrington|
|A TunnelofTime-AnAutobiography|	|R. K. Laxman|
|My Days|	|R. K. Narayan|
|Painter of Signs|	|R. K. Narayan|
|The Dark Room|	|R. K. Narayan|
|Chaitali|	|R. N. Tagore|
|Chithrangada|	|R. N. Tagore|
|Hindi Sahitya Aur Samvedna Ka Vikas|	|R. S. Chaturvedi|
|Environmental Economics–An Indian Perspective|	|Rabindra N. Bhattacharya|
|Bisarjan|	|Rabindranath Tagore|
|Chandalika|	|Rabindranath Tagore|
|Chitra|	|Rabindranath Tagore|
|Court Dancer|	|Rabindranath Tagore|
|Crescent Moon|	|Rabindranath Tagore|
|Gardener|	|Rabindranath Tagore|
|Gitanjali|	|Rabindranath Tagore|
|Gora|	|Rabindranath Tagore|
|Hungry Stones|	|Rabindranath Tagore|
|King of Dark Chamber|	|Rabindranath Tagore|
|Kshuditta Pashan (Hungry Stone)|	|Rabindranath Tagore|
|Lipika|	|Rabindranath Tagore|
|Post Office|	|Rabindranath Tagore|
|Silent Spring|	|Rachel Carson|
|Making Peace With Pakistan|	|Radha Kumar|
|Smell|	|Radhika Jha|
|Price of Partition|	|Rafiq Zakaria|
|Sardar Patel and Indian Muslims|	|Rafiq Zakaria|
|Gul-e-N aghma|	|Raghupati Sahai 'Firaq' Gorakhpuri|
|Rang-e-Shairi|	|Raghupati Sahai 'Firaq' Gorakhpuri|
|Saving Capitalism From The Capitalists|	|Raghuram G. Rajan and Luigi Zingales|
|2003 World Cup Cricket–Action Replay1983|	|Rahul Sehgal|
|Khushwant Singh...In the Name of the Father|	|Rahul Singh|
|The Blue Bedspread|	|Raj Kamal Jha|
|India Divided|	|Rajendra Prasad|
|Flight to Parliament|	|Rajesh Pilot|
|Eight Lives|	|Rajmohan Gandhi|
|Revenge and Reconciliation–Understanding South Asian History|	|Rajmohan Gandhi|
|Imdia Today|	|Rajni Palme Dutt|
|India Mter Gandhi–The History of World's Largest Democracy|	|Ram Chandra Guha|
|Ganganvani|	|Ram Karan Sharma|
|Katghare Main|	|Ram Sharan Joshi|
|How India Votes–Election Laws, Practice and Procedure|	|Rama Devi and S. K. Mendirata|
|My Presidential Years|	|Ramaswamy Venkataraman|
|Notebook of a Foot Soldier|	|Randhir Khare|
|Bewilderedlndia–Identity, Pluralism, Discord|	|Rasheeduddin Khan|
|Hacks And Headlines|	|Raslune Sehgal|
|My Music, My Love|	|Ravi Shankar|
|Hidden Iran–Paradox and Power in the Islamic Republic|	|Ray Takeyh|
|Meditations on First Philosophy|	|Rene Descrates|
|In Search of Gandhi|	|Richard Attenborough|
|Rethinking Early Modern India|	|Richard B. Barnett (Ed.)|
|Hero of Our Times|	|Richard Hough|
|Beyond Peace|	|Richard Nixon|
|Leaders|	|Richard Nixon|
|1999–Victory Without War|	|Richard Nixon|
|Escape the Night|	|Richard North Patterson|
|Jungle Book|	|Rildyard Kipling|
|Firefly–A Fairytale|	|Ritu Beri|
|Borders & Boundaries; Women in India's Partition|	|Ritu Menon & Kamla Bhasin|
|Raj Kapoor Speaks|	|Ritu Nanda|
|A Man for All Seasons|	|Robert Bolt|
|Nehru and the Language Politics of India|	|Robert D. King|
|JFK–An Unfinished Life|	|Robert Dallek|
|Nixon and Kissinger–Partners in Power|	|Robert Dallek|
|Stopping by Woods|	|Robert Frost|
|The Big Idea|	|Robert Jones|
|Dr. Jekyll and Mr. Hyde|	|Robert Louis Stevenson|
|Kidnapped|	|Robert Louis Stevenson|
|The Black Arrow|	|Robert Louis Stevenson|
|All the King's Men|	|Robert Penn Warren|
|The Birth of Europe|	|Robert S. Lopez|
|In Retrospect–The Tragedy and Lessons of Vietnam|	|Robert S. McNamara|
|Dancing with the Devil|	|Rod Barker|
|Paddy Clarke Ha, Ha, Ha|	|Roddy Doyle|
|The Commitments|	|Roddy Doyle|
|Family Matters: Rohinton|	|Rohinton :Mistry|
|A Fine Balance|	|Rohinton Mistry|
|In the Light of the Black Sun|	|Rohit Manchanda|
|Jean Christopher|	|Romain Rolland|
|Mahatma Gandhi|	|Romain Rolland|
|The Crisis in India|	|Ronald Segal|
|Kim|	|Rudyard Kipling|
|Light That Failed|	|Rudyard Kipling|
|Scenes from a Writer's Life|	|Ruskin Bond|
|For the Love of India|	|Russi M. Lala|
|A Backward Place|	|Ruth Prawer Jhabwala|
|Heat and Dust|	|Ruth Prawer Jhabwala|
|Assassination of a Prime Minister|	|S. Anandram|
|From India to America|	|S. Chandrashekhar|
|Dialogue With Pakistan|	|S. G. Kashika|
|A Sense of Time|	|S. H. Vatsyayan|
|Kamasutra|	|S. H. Vatsyayan|
|Children and Human Rights|	|S. K. Pachuri|
|Oru Desathinte Katha|	|S. K. Pottekkatt|
|Economics of the Third World|	|S. K. Ray|
|After the Dark Night|	|S. M. Ali|
|Indira's India|	|S. Nihal Singh|
|My India|	|S. Nihal Singh|
|Bhagvad Gita|	|S. Radhakrishnan|
|Gandhi–A Sublime Failure|	|S. S. Gill|
|A Conceptual Encyclopaedia of Guru Gtanth Sahib|	|S. S. Kohli|
|Don Quixote|	|Saavedra Miguel de Cervantes|
|In Mghanistan's Shadow|	|Salig S. Harrison|
|East West|	|Salman Rushdie|
|Fury|	|Salman Rushdie|
|Ground Beneath Her Feet|	|Salman Rushdie|
|Jaguar Smile|	|Salman Rushdie|
|Satanic Verses|	|Salman Rushdie|
|Shalimar The Clown|	|Salman Rushdie|
|Shame|	|Salman Rushdie|
|Netaji–Dead or Alive|	|Samar Guha|
|Dream of Fair to Middling Women|	|Samuel Beckett|
|Erewhon|	|Samuel Butler|
|Essay on Life|	|Samuel Butler|
|The Clash of Civilisations and the Remaking of World Order|	|Samuel Huntington|
|Christabel|	|Samuel Taylor Coleridge|
|Confessions of an Inquiring Spirit|	|Samuel Taylor Coleridge|
|Kubla Khan|	|Samuel Taylor Coleridge|
|India's Rise to Power in the Twentieth Century & Beyond|	|Sandy Gordon|
|The Career & Legend of Vasco de Gama|	|Sanjay Submmanyam|
|Brideless in Wembley|	|Sanjay Suri|
|Indian Mansions|	|Sarah Tillotson|
|Operation Black Thunder|	|Sarbjit Singh|
|Broken Wings|	|Sarojini Naidu|
|Golden Threshold|	|Sarojini Naidu|
|Sceptred Flute|	|Sarojini Naidu|
|Last Analysis|	|Saru Bellow|
|A Search for Home|	|Sasthi Brata|
|My God Died Young|	|Sasthi Brata|
|Kashmir Underground|	|Sati Sahni|
|A Brush with Life|	|Satish Gujral|
|The Buddha & The Terrorist|	|Satish Kumar|
|Our Films, Their Films|	|Satyajit Ray|
|Dangling Man|	|Saul Bellow|
|Dean's December|	|Saul Bellow|
|Henderson the Rain King|	|Saul Bellow|
|Samler's Planet|	|Saul Bellow|
|Future of NPT|	|Savita Pande|
|Personal Injuries|	|Scot Turow|
|Pleading Guilty|	|Scott Turow|
|North|	|Seamus Heaney|
|J. K.-Biography of J. K. Rowling|	|Seen Smith|
|The Dark Side of Camelot|	|Seymore Hersh|
|Dark Side of Camelot|	|Seymour Hersh|
|Price of Power–Kissingerin the Nixon White House|	|Seymour M. Hersh|
|Sher-e-Shor Angez|	|Shamsur Rahman Faruqi|
|Can India Grow Without Bharat|	|Shankar Acharya|
|A Gift of Wings|	|Shanthi Gopalan|
